"sensor_nodes_id","site_name","source_name","city"
7944,"Chiloquin","AirNow","KLAMATH"
7293,"MB Titova","Slovenian Environment Agency","MB Titova"
9431,"RO0203A","EEA Romania","Vâlcea"
3953,"HU0002R","EEA Hungary","Bács-Kiskun"
5737,"CH0021A","EEA Switzerland","Zürich"
8679,"Long Beach Signal Hi","AirNow","Los Angeles-Long Beach-Santa Ana"
233,"Spokane-E Broadway A","AirNow","Spokane"
9383,"RO0108A","EEA Romania","Bihor"
4434,"CZ0CKOC","EEA Czech Republic","Jihočeský"
8636,"Jackson","AirNow","Jackson"
629,"Loudonville","AirNow","Albany-Schenectady-Troy"
1763,"StJohns","AirNow","MARICOPA"
4399,"CZ0ZTNV","EEA Czech Republic","Zlínský"
868,"ALLEN PARK","AirNow","Detroit-Warren-Livonia"
1164,"Green Valley","AirNow","Tucson"
577,"Corpus Christi Dona","AirNow","Corpus Christi"
158,"London Teddington Bushy Park","DEFRA","London"
10568,"RO0126A","EEA Romania","Călăraşi"
236025,"Québec - Charlesbour","AirNow","N/A"
8320,"US Diplomatic Post: Jakarta South","StateAir_JakartaSouth","Jakarta"
8754,"Cove - City Hall","AirNow","La Grande"
5262,"Taboão da Serra","Sao Paulo CETESB","Taboão da Serra"
9409,"RO0153A","EEA Romania","Harghita"
10765,"RO0193A","EEA Romania","Timiş"
628,"Maspeth","AirNow","New York-Northern New Jersey-Long Island"
5286,"Mauá","Sao Paulo CETESB","Mauá"
1010,"Preble NCore","AirNow","Dayton"
2974,"HR0003A","EEA Croatia","Osjecko-baranjska"
764,"Newport","DEFRA","Newport"
4547,"FI00839","EEA Finland","Northern Savonia"
236026,"Saguenay - UQAC","AirNow","QUEBEC"
8567,"FORT ST JOHN LEARNIN","AirNow","BRITISH COLUMBIA"
4393,"CZ0UDOK","EEA Czech Republic","Ústecký"
7507,"Catawba Indian Natio","AirNow","Charlotte-Gastonia-Concord"
1824,"Monroe","AirNow","Monroe"
8680,"Lyons","AirNow","LINN"
6887,"Paradise - Airport","AirNow","Chico"
7423,"Goulburn","Australia - New South Wales","Southern Tablelands"
1938,"Seattle-Beacon Hill","AirNow","Seattle-Tacoma-Bellevue"
2338,"Newcastle Cradlewell Roadside","DEFRA","Newcastle"
7899,"Živinice","Bosnia_Tuzlanski","Živinice"
667,"DYERSBURG","AirNow","Dyersburg"
3000,"MK0040A","EEA Macedonia","Veles Municipality"
612,"Flagstaff Middle Sch","AirNow","Flagstaff"
7503,"US Diplomatic Post: Algiers","StateAir_Algiers","Algiers"
2243,"PASCAGOULA","AirNow","Pascagoula"
3967,"HU0035A","EEA Hungary","Gyor-Moson-Sopron"
1651,"Toll","AirNow","Reno-Sparks"
8870,"Ashgabat","AirNow","N/A"
968,"Inverness","DEFRA","Inverness"
11586,"RS0048A","EEA Servia","Pčinjski upravni okrug"
8416,"Tranquillity","AirNow","FRESNO"
7558,"Cinecitta","ARPALAZIO","Roma"
1643,"MLK","AirNow","Philadelphia-Camden-Wilmington"
1500,"Beaumont C2/C112","AirNow","Beaumont-Port Arthur"
876,"Santa Maria - Broadw","AirNow","Santa Barbara-Santa Maria"
11594,"RS0044A","EEA Servia","Zaječarski upravni okrug"
2178,"Del Norte","AirNow","Albuquerque"
2173,"Sinclair","AirNow","Dayton"
1658,"CHI_SWFP","AirNow","Chicago-Naperville-Joliet"
6263,"Ardeşen","Turkey","Rize"
3552,"FR08025","EEA France","Hérault"
2780,"St. Andr� i. L. Volksschule","EEA Austria","Amt der K�rntner Landesregierung"
4647,"FI00602","EEA Finland","Kainuu"
2685,"FR09402","EEA France","Vienne"
5758,"Sarıyer","Turkey","İstanbul"
1414,"BRAIDWD","AirNow","Chicago-Naperville-Joliet"
7767,"PT03082","EEA Portugal","Lisboa"
2891,"Lenzing Winterstrasse","EEA Austria","Amt der Ober�sterreichischen Landesregierung"
1875,"NATBRIDGE","AirNow","ROCKBRIDGE"
1664,"CLEVELAND","AirNow","Cleveland"
2048,"DEER","AirNow","Harrison"
6477,"第三人民医院　","ChinaAQIData","商丘市"
6474,"Lennon Drive","Australia - Queensland","Townsville"
1440,"Weatherford","AirNow","CUSTER"
1110,"HERNANDO","AirNow","Memphis"
760,"Rochester","AirNow","Rochester"
4115,"FR04146","EEA France","Val-de-Marne"
4130,"FR02026","EEA France","Bouches-du-Rhône"
6413,"SM1 ","Chile - SINCA","Huasco"
8740,"Platteville Atmosphe","AirNow","WELD"
4847,"Antakya","Turkey","Hatay"
2028,"Nederland C1035","AirNow","Beaumont-Port Arthur"
3960,"HU0022A","EEA Hungary","Budapest"
1883,"Solano Drive","AirNow","Las Cruces"
3794,"FR31031","EEA France","Gironde"
3652,"FR18054","EEA France","Aisne"
4815,"Sincan","Turkey","Ankara"
6490,"新钢氧气厂","ChinaAQIData","新余市"
2136,"Reubens-ID","AirNow","NEZ PERCE"
4819,"Selçuklu","Turkey","Konya"
4823,"Canik","Turkey","Samsun"
2976,"MK0031A","EEA Macedonia","Aerodrom Municipality"
9382,"RO0105A","EEA Romania","Bacău"
8864,"Springfield Ag","AirNow","Springfield"
5190,"SK0050A","EEA Slovakia","Trenciansky kraj"
500,"French Town - Beckwi","AirNow","MISSOULA"
8844,"BG0073A","EEA Bulgaria","София (столица)"
8588,"Elko","AirNow","ELKO"
359,"Estación Bomberos","AirNow","GUANAJUATO"
7780,"GBUAPCD EBAM @ Woodf","AirNow","GBU"
865,"Chesterfield Roadside","DEFRA","Chesterfield"
8897,"York Landfill","AirNow","YORK"
226626,"Aspen Pumphouse","AirNow","PITKIN"
2088,"Northwest Harris Co.","AirNow","Houston-Sugar Land-Baytown"
2075,"SHIRLEY PLANTATION","AirNow","Richmond"
8457,"Madera-City","AirNow","Madera"
5468,"Glenorchy","Australia - Tasmania","Tasmania Region"
2007,"San Jose - Knox Ave","AirNow","San Jose-Sunnyvale-Santa Clara"
1754,"Capitol","AirNow","Baton Rouge"
1382,"Lebanon","AirNow","LEBANON"
1423,"Wenatchee-Fifth St","AirNow","CHELAN"
5456,"Ti Tree Bend","Australia - Tasmania","Tasmania Region"
551,"Kalispell Flathead E","AirNow","FLATHEAD"
230,"Barstow","AirNow","Riverside-San Bernardino-Ontario"
2093,"Estación Secundaria","AirNow","GUANAJUATO"
781,"P2","AirNow","CARBON"
1446,"Lewiston","AirNow","Lewiston"
2113,"Rocky Point Park","AirNow","BRITISH COLUMBIA"
2996,"MK0047A","EEA Macedonia","Centar Municipality"
1341,"Lawton North","AirNow","Lawton"
4415,"CZ0ZUHR","EEA Czech Republic","Zlínský"
2957,"HR0018A","EEA Croatia","Splitsko-dalmatinska"
1917,"Shenandoah NP","AirNow","MADISON"
617,"Paul Spur Chemical L","AirNow","Sierra Vista-Douglas"
1317,"Lapwai","AirNow","N/A"
1619,"CARPENTER","AirNow","Des Moines"
1661,"Tiverton","AirNow","ONTARIO"
236022,"Terrebonne - Parc Va","AirNow","QUEBEC"
1697,"Made","AirNow","BUTLER"
7834,"Scottsbluff HS","AirNow","Scottsbluff"
7723,"Estación Purísima de","AirNow","GUANAJUATO"
1859,"Cincinnati Near Road","AirNow","Cincinnati-Middletown"
231,"Lucerne Valley","AirNow","SAN BERNARDINO"
2302,"VILLA MARIA DEL TRIUNFO","Senamhi","Lima"
1925,"Shadyside","AirNow","BELMONT"
1396,"Leeds Headingley Kerbside","DEFRA","Leeds"
8898,"Yosemite Village - V","AirNow","MARIPOSA"
1492,"Basin","AirNow","BIG HORN"
2074,"North Delta","AirNow","BRITISH COLUMBIA"
724,"Ketchum","AirNow","BLAINE"
236027,"Auclair","AirNow","QUEBEC"
982,"Chapais","AirNow","QUEBEC"
10233,"WNVLELSC","AirNow","HAYWOOD"
9387,"RO0114A","EEA Romania","Brăila"
