"sensor_nodes_id","site_name","source_name","city"
219609,"Cranberry","CMU",
219934,"saharastaub","HabitatMap",
73847,"Fixed #2","HabitatMap",
232004,"Ludo outdoor","HabitatMap",
221113,"MontagBalkon","HabitatMap",
220736,"testmi","HabitatMap",
220558,"Casa Hogar","Sinaica Mexico","Oaxaca de Juárez"
221196,"Dienstag Balkon","HabitatMap",
876,"Santa Maria - Broadw","AirNow","Santa Barbara-Santa Maria"
346,"MD University, Rohtak - HSPCB","CPCB","Rohtak"
6263,"Ardeşen","Turkey","Rize"
3552,"FR08025","EEA France","Hérault"
6016,"תחנה:כביש 1 מוצא","Israel","מישור החוף הדרומי"
2780,"St. Andr� i. L. Volksschule","EEA Austria","Amt der K�rntner Landesregierung"
4647,"FI00602","EEA Finland","Kainuu"
2685,"FR09402","EEA France","Vienne"
5758,"Sarıyer","Turkey","İstanbul"
1110,"HERNANDO","AirNow","Memphis"
5378,"Norrlandsgatan","Sweden","Stockholm"
5064,"תחנה:כביש 1 מוצא","Israel","גוש דן"
10980,"תחנה:כביש 1 מוצא","Israel","מישור החוף הדרומי"
4115,"FR04146","EEA France","Val-de-Marne"
4130,"FR02026","EEA France","Bouches-du-Rhône"
11088,"תחנה:עטרות א.תעשיה","Israel","גוש דן"
6413,"SM1 ","Chile - SINCA","Huasco"
11218,"תחנה:עטרות א.תעשיה","Israel","שרון"
6328,"תחנה:עטרות א.תעשיה","Israel","שרון"
6055,"תחנה:עטרות א.תעשיה","Israel","צפון"
11241,"תחנה:עטרות א.תעשיה","Israel","שרון"
6388,"תחנה:עטרות א.תעשיה","Israel","מישור החוף הדרומי"
11239,"תחנה:עטרות א.תעשיה","Israel","מישור החוף הדרומי"
6044,"תחנה:עטרות א.תעשיה","Israel","גוש דן"
6007,"תחנה:עטרות א.תעשיה","Israel","מישור החוף הדרומי"
11268,"תחנה:עטרות א.תעשיה","Israel","גוש דן"
11149,"תחנה:עטרות א.תעשיה","Israel","מישור החוף הדרומי"
6339,"תחנה:עטרות א.תעשיה","Israel","גוש דן"
1664,"CLEVELAND","AirNow","Cleveland"
6444,"Felixton","Richards Bay","Richards Bay"
5013,"תחנה:המשתלה","Israel","שרון"
6761,"תחנה:המשתלה","Israel","שרון"
863,"Noen Phra, Mueang","Thailand","Rayong"
2891,"Lenzing Winterstrasse","EEA Austria","Amt der Ober�sterreichischen Landesregierung"
6086,"תחנה:גדרה","Israel","חיפה וקריות"
11232,"תחנה:גדרה","Israel","חיפה וקריות"
6477,"第三人民医院　","ChinaAQIData","商丘市"
6474,"Lennon Drive","Australia - Queensland","Townsville"
6372,"תחנה:גדרה","Israel","חיפה וקריות"
4980,"תחנה:גדרה","Israel","חיפה וקריות"
5977,"תחנה:גדרה","Israel","חיפה וקריות"
2311,"Ban Suan, Mueang","Thailand","Chon Buri"
3794,"FR31031","EEA France","Gironde"
3652,"FR18054","EEA France","Aisne"
286,"Collectorate - Gaya - BSPCB","CPCB","Gaya"
4815,"Sincan","Turkey","Ankara"
6490,"新钢氧气厂","ChinaAQIData","新余市"
6489,"1-r khoroolol","Agaar.mn","Ulaanbaatar"
2136,"Reubens-ID","AirNow","NEZ PERCE"
4819,"Selçuklu","Turkey","Konya"
4823,"Canik","Turkey","Samsun"
1440,"Weatherford","AirNow","CUSTER"
4847,"Antakya","Turkey","Hatay"
222299,"test delete stresms","HabitatMap",
6826,"תחנה:ניר ישראל","Israel","שרון"
2583,"Sector-6, Panchkula - HSPCB ","caaqm","Panchkula"
11417,"תחנה:רכבת השלום","Israel","מישור החוף הדרומי"
7780,"GBUAPCD EBAM @ Woodf","AirNow","GBU"
11359,"תחנה:ניר ישראל","Israel","גוש דן"
5997,"תחנה:עמיאל","Israel","שרון"
11117,"תחנה:עמיאל","Israel","מישור החוף הדרומי"
11208,"תחנה:באר שבע","Israel","ירושלים"
171,"U of H","Texas","Houston"
223709,"London Wall","london_stationary",
223710,"Savernake Road","london_stationary",
223711,"Fitzjohn Avenue","london_stationary",
174,"Wallisville Road C617","Texas","Houston"
223716,"Woolwich Road","london_stationary",
223262,"Cilandek","HabitatMap",
6564,"תחנה:רוממה","Israel","גוש דן"
223766,"Pemberton Gardens","london_stationary",
11227,"תחנה:כביש 4","Israel","מישור החוף הדרומי"
4985,"תחנה:אליכין","Israel","חיפה וקריות"
223772,"Drury Lane","london_stationary",
223773,"Pattison Road","london_stationary",
223774,"Wood Lane","london_stationary",
223775,"Laystall St","london_stationary",
223786,"Royal Marsden Hospital","london_stationary",
224276,"mszana","HabitatMap",
223791,"Royal Free Hospital","london_stationary",
223792,"Hanworth Road","london_stationary",
223807,"Beaumont Grove","london_stationary",
223808,"Exhibition Road","london_stationary",
223809,"The Broadway","london_stationary",
